,,Name,Username,"User Profile","Tweet ID",Retweets,Comments,Favorites,"Is Retweet?",Date,"Tweet Text","Tweet Source","Status URL"
1,,FactsOfLife1,facts_life1,https://www.twitter.com/facts_life1,"ID: 1727140137577107646",0,0,0,,"2023-11-22 01:41:12","@elonmusk You and others need to stop memes about God in Heaven. You still have to answer for the meme you put up about Jesus and Mary. Why is it you don’t  talk about the idols and gods that  India  or China etc. worships? Only Christianity. Why is that? You know.  $$","Twitter for iPhone",https://www.twitter.com/facts_life1/status/1727140137577107646
2,,"Iron Duke",FiveBaggers,https://www.twitter.com/FiveBaggers,"ID: 1727140226454475231",0,0,0,,"2023-11-22 01:41:33","@elonmusk I won’t even bother. I’ll accept my fate.","Twitter Web App",https://www.twitter.com/FiveBaggers/status/1727140226454475231
3,,FactsOfLife1,facts_life1,https://www.twitter.com/facts_life1,"ID: 1727140248642310197",0,0,0,,"2023-11-22 01:41:38","@elonmusk Why don’t you add a dislike button?","Twitter for iPhone",https://www.twitter.com/facts_life1/status/1727140248642310197
4,,"Dark Moon",DrDarkMoon,https://www.twitter.com/DrDarkMoon,"ID: 1727140274059583963",0,0,0,,"2023-11-22 01:41:44","@elonmusk God you should hold, don't jet 🤣","Twitter for iPhone",https://www.twitter.com/DrDarkMoon/status/1727140274059583963
5,,"Looter.Chris 🇦🇺🐸",Chrisz_Nftz,https://www.twitter.com/Chrisz_Nftz,"ID: 1727140354087104979",2,2,3,,"2023-11-22 01:42:03","@elonmusk $black are u ready for #blackfriday ?$pepe $grok $yobama https://t.co/QvZhp9xzSn","Twitter for Android",https://www.twitter.com/Chrisz_Nftz/status/1727140354087104979
6,,"Scott O'Nanski",NanskiO,https://www.twitter.com/NanskiO,"ID: 1727140408327823397",0,0,1,,"2023-11-22 01:42:16","@elonmusk Just plead Christ. Quicker, easier, and 100% guaranteed.","Twitter Web App",https://www.twitter.com/NanskiO/status/1727140408327823397
7,,"Hanım ağa 🇹🇷",hanim_aga2023,https://www.twitter.com/hanim_aga2023,"ID: 1727140419400798338",1,0,2,,"2023-11-22 01:42:19","@elonmusk 3 deccalin  hizmetkarlari bunlar https://t.co/G2zibpZFwx","Twitter for Android",https://www.twitter.com/hanim_aga2023/status/1727140419400798338
8,,"Avspook 👻",avspook,https://www.twitter.com/avspook,"ID: 1727140491567960141",0,0,0,,"2023-11-22 01:42:36","@elonmusk A tad optimistic there son","Twitter for Android",https://www.twitter.com/avspook/status/1727140491567960141
9,,Leoni,momontana549,https://www.twitter.com/momontana549,"ID: 1727140505396683038",0,0,0,,"2023-11-22 01:42:39","@elonmusk Suche neue bekanntschaften ruft mich an 015142339808","Twitter for Android",https://www.twitter.com/momontana549/status/1727140505396683038
10,,"Tommy Harbin",tomm26749,https://www.twitter.com/tomm26749,"ID: 1727140590272573902",0,0,0,,"2023-11-22 01:43:00","@elonmusk That’s a good one!","Twitter Web App",https://www.twitter.com/tomm26749/status/1727140590272573902
